35a - Antenatal care coverage  at least one visit

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureData,OriginData,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of births attended by skilled health personnel,Developed regions,233,Estonia,2016,Female,99.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,233,Estonia,2017,Female,99.2,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2003,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2008,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2000,Female,98.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2005,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2007,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2009,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2010,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2001,Female,98.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2004,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2006,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2011,Female,99.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2002,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2012,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2014,Female,99.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2015,Female,99.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2016,Female,99.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,246,Finland,2017,Female,99.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2008,Female,98,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2005,Female,97.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2007,Female,98.1,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2009,Female,97.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2010,Female,97.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2001,Female,99.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2004,Female,98,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2006,Female,98.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2011,Female,96.2,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2012,Female,97.1,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2013,Female,98.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2014,Female,98.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2015,Female,97.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2016,Female,97.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,250,France,2017,Female,98,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2003,Female,98.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2008,Female,98.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2000,Female,98.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2005,Female,98.2,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2007,Female,98.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2009,Female,98.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2010,Female,98.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2001,Female,98.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2004,Female,98.2,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2006,Female,98.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2011,Female,98.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2002,Female,98.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2012,Female,98.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2013,Female,98.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2014,Female,98.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2015,Female,98.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2016,Female,97.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,276,Germany,2017,Female,98.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2003,Female,99.98,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2008,Female,99.97,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2000,Female,99.94,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2005,Female,99.97,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2007,Female,99.98,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2009,Female,99.95,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2010,Female,99.96,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2001,Female,99.95,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2004,Female,99.97,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2006,Female,99.99,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2011,Female,99.96,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2002,Female,99.96,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2012,Female,99.91,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2013,Female,99.91,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2014,Female,99.93,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2015,Female,99.94,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2016,Female,99.94,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,300,Greece,2017,Female,99.93,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2003,Female,99.6,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2008,Female,99.5,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2000,Female,99.5,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2005,Female,99.6,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2007,Female,99.6,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2009,Female,99.6,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2010,Female,99.1,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2001,Female,99.6,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2004,Female,99.6,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2006,Female,99.7,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2011,Female,99,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2002,Female,99.6,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2012,Female,99,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2013,Female,99.1,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2014,Female,99.2,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2015,Female,99.6,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2016,Female,99.7,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,348,Hungary,2017,Female,99.7,-,-,Country data,-,No / unclear definition of the cadres included,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2003,Female,99.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2008,Female,98.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2000,Female,99.3,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2005,Female,99,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2007,Female,98.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2009,Female,98.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2010,Female,98.2,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2001,Female,99.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2004,Female,99.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2006,Female,98.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2011,Female,97.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2002,Female,99.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2012,Female,97.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2013,Female,98.1,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2014,Female,97.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2015,Female,98.2,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,352,Iceland,2016,Female,97.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2003,Female,99.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2008,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2000,Female,99.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2005,Female,99.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2007,Female,99.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2009,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2010,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2001,Female,99.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2004,Female,99.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2006,Female,99.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2011,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2002,Female,99.5,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2012,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2013,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2014,Female,99.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2015,Female,99.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,372,Ireland,2016,Female,99.7,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2003,Female,99.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2008,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2000,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2005,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2007,Female,99.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2009,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2010,Female,99.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2004,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2006,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2011,Female,99.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2002,Female,99.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2013,Female,99.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2014,Female,99.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,380,Italy,2015,Female,99.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2003,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2008,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2000,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2005,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2007,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2009,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2010,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2001,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2004,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2006,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2011,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2002,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2012,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2014,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2015,Female,99.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2016,Female,99.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,392,Japan,2017,Female,99.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,428,Latvia,2008,Female,99.1,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,428,Latvia,2007,Female,99.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,428,Latvia,2009,Female,98.9,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,428,Latvia,2010,Female,98.8,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,428,Latvia,2011,Female,98.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,428,Latvia,2012,Female,98.6,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,428,Latvia,2013,Female,98.4,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
Proportion of births attended by skilled health personnel,Developed regions,428,Latvia,2014,Female,98.1,-,-,Country data,-,Institutional Birth (IB): includes all deliveries that occurred at a health facility,-,-,-,-,-,-
